'umra	umrah
love handle	ban
love hotel	motel
love is blind	cinta itu buta
love language	bahasa cinta
love letter	surat cinta
love triangle	cinta segitiga
lovebird	tak terpisahkan
loved one	akrab
loveliness	pesona
lovely	bagus
lover	kekasih
loving	cinta
low	hina
low tide	pasang surut
low-income	melarat
lowdown	histori
lower	merendahkan
lowercase	kecil
lowercase letter	huruf kecil
lowlife	sampah masyarakat
lowly	rendah hati
loyal	setia | loyal
loyalty	kesetiaan
lozenge	belah ketupat
lubricant	pelumas
lubricate	oles
lucent	benderang
lucid	transparan
luck	keberuntungan
lucky	pemujur
lucky charm	amulet
lucky dog	mujur
ludicrous	konyol
lug	kuping
luggage	bagasi
lukewarm	hangat-hangat | [[suam-suam]] kuku
lull	jeda
lullaby	nina-bobok
lumbago	nyeri punggung
lumbar puncture	pungsi lumbal
lumberjack	penebang
lumen	lumen
luminary	cahaya
luminosity	kilau
luminous	berkilau | berseri-seri | berserian
luminous intensity	intensitas cahaya
lump	punuk
lumpia	lumpia
lunar calendar	kalender candra
lunar eclipse	gerhana bulan
lunch	makan siang
lunchbox	kerampang
luncheon	makan siang
lunette	lunula
lung	paru-paru | rabu
lung cancer	kanker paru-paru
lunge	impuls
lunula	lunula
lupin	lupino
lupine	serigala
lurch	terhuyung
luscious	manis
lush	hijau
lust	nafsu | syahwat
luster	kilau
lustration	pembaruan
lux	lux
luxurious	mewah
luxury	kemewahan
lycanthropy	likantropi
lychee	leci
lycopodium	paku kawat
lycée	sekolah menengah
lye	lindi
lymph	getah bening | limfa
lymphocyte	limfosit
lymphoma	limfoma
lynx	kucing buas
lyrical	lirik
lyrics	lirik
lysis	ampun
lysosome	lisosom
ma	bunda
ma'am	puan
macabre	angker
macaque	kera
macaron	makaron | makarun
macaroni	makaroni
macaronic	palsu
macchiato	caffè macchiato
mace	gada | bunga pala
machete	golok
machine	mesin | sawat | otomobil | gapah
machine gun	senapan mesin
machine language	bahasa mesin
machine learning	pembelajaran mesin
machine translation	terjemahan mesin
machine-gunner	mitraliur
machine-readable	terbaca mesin
mackerel	kembung | tenggiri
macro-	makro-
macrocosm	makrokosmos
macroeconomics	ekonomi makro | makroekonomi
macroeconomy	ekonomi makro
macromolecule	makromolekul
macrophotography	fotografi makro
macula	noda
macédoine	macedonia
mad	gila | edan | gusar
madam	nyonya | puan
maddah	mad | madah
madden	membuat marah | menjadikan marah
madder	beranang
mademoiselle	nona
madhhab	mazhab
madman	gila
madness	kegilaan
madrasah	madrasah
maenad	mainad
maestro	maestro
mafia	mafia
mafic	bazala
magazine	majalah
mage	tukang sulap
maggot	belatung
maghrib	magrib
magic	sihir | keajaiban | magi | magis | sakti | ajaib
magic carpet	permadani terbang
magic mushroom	jamur ajaib | jamur letong | jamur psilosibin | jamur tahi sapi
magic realism	realisme magis
magic square	persegi ajaib
magic word	mantra
magical	ajaib | magis | sakti
magical girl	mahō shōjo
magician	tukang sulap | dukun
magister	magister
magistrate	magistrat
maglev	kereta maglev
magma	magma
magnate	konglomerat
magnesium	magnesium
magnet	magnet | besi berani | sembrani
magnetic	magnetis
magnetic compass	kompas
magnetic declination	deklinasi
magnetic field	medan magnet
magnetic flux	fluks magnetik
magnetism	magnetik | magnetisme
magnetometer	magnetometer
magnetomotive force	gaya gerak magnet
magnifying glass	kaca pembesar | lup | suryakanta
magnitude	penting
magnum opus	adikarya | mahakarya
magpie	murai
magus	ahli sihir
maharaja	kaisar | maharaja | raja besar
mahi-mahi	belitung | mahi-mahi
mahjong	mahyong
mahogany	mahoni
mahout	mahout
mahr	mahar | maskawin
maid	babu | gadis | perawan | bantu
maiden	gadis | perawan
maiden name	nama gadis
maiden voyage	perjalanan perdana
maidenhead	keperawanan
maidenhood	keperawanan
maidservant	babu
mail	pos | surel
mailman	pengantar surat
main	terutama | paling penting
main road	jalan raya | jalan utama
main-sequence star	bintang deret utama
mainland	daratan utama
mainland China	Tiongkok Daratan
mainmast	besar
mains	sistem tenaga listrik
mainsail	layar agung
mainstream	arus utama
maintain	merawat
maintenance	perawatan | pemeliharaan
maize	jagung
majlis	majelis
major	mayor | jurusan
major arcana	arcana mayor
major general	mayor jenderal
major premise	premis mayor
majordomo	pelayan
majority	mayoritas
makara	makara
make	buat | bikin
make a mountain out of a molehill	membuat gunung dari sarang tikus mondok
make a scene	berbuat ulah
make believe	membayangkan
make do	bertahan hidup
make fun of	mencemoohkan
make it	jadi orang
make love	bercinta
make off	cepat
make out	mementaskan
make sense	dengar
make the most of	memanfaatkan
make up	merupakan
make up one's mind	memutuskan
makeup	produk tata-rias
making-of	di balik layar
maktab	maktab
malachite	malasit
malacology	malakologi
malady	penyakit
malaria	malaria
male	jantan | laki-laki | pria
malediction	kutuk
maleic acid	asam maleat
malevolent	berniat jahat
malformation	malaformasi | malformasi
malice	kejahatan
malicious	berniat jahat | hasad | jahat
malign	buruk
malignant	berbahaya
mall	pusat belanja
malleolus	mata kaki
mallet	gada
malleus	palu
malnutrition	defisiensi nutrisi | malanutritisi
malonic acid	asam malonat
maltose	maltosa
malware	malwer | perangkat lunak jahat | peranti lunak berbahaya | peranti perusak
mamillary body	badan mamilari
mamma	mama | payudara | susu | tetek
mammal	hewan menyusui | mamalia
mammalian	hewan menyusui
mammary gland	kelenjar susu
mammography	mammografi
mammy	ibu
man	pria | laki-laki | orang | manusia | insan
man in the moon	Manusia di Bulan
man's best friend	teman terbaik manusia
manage	berhasil | mengurus | mengontrol | menangani
management	manajemen | pengelolaan | direksi | pengelola
manager	manajer
managership	kepengelolaan
manatee	lembu laut
mandarin	mandarin
mandarin duck	bebek mandarin
mandarin orange	jeruk keprok
mandatary	mandataris
mandate	mandat
mandatory	wajib
mandible	rahang bawah
mandrill	monyet dukun
mane	surai
maneuver	manuver | perasat
manga	manga
mangaka	mangaka
mangal	mangal
manganese	mangan
mange	kudis
manger	palungan
mangetout	kapri
mango	mangga | pohon mangga | buah mangga
mango juice	jus mangga
mangosteen	manggis
mangrove	bakau | mangrove
manhole	lubang got | lubang orang | lubang pengerjaan | tutup parit | tutupan selokan
manhole cover	penutup lubang got
manhood	kelaki-lakian
manhua	manhua
manhwa	manhwa
manic depression	manik depresi
manifest	manifes
manifestation	manifestasi
manifesto	manifesto | manifes
manifold	beda
maniple	manipulus
manipulate	memanipulasi
manipulation	manipulasi
mankind	orang
manky	kotor
manliness	kejantanan
manly	jantan
manna	mana
mannequin	maneken | peragawati
manner	cara
mannerism	mannerisme
manosphere	manosfer
manservant	abdi
mansion	wastu
manta ray	selimut
manti	manti
manticore	mantikora
mantilla	mantila
mantis	belalang sentadu
mantis shrimp	udang sentadu
mantle	mantel
mantou	roti mantau
mantra	mantra
manual	panduan
manual labor	kerja tangan
manufacture	manufaktur
manul	kucing Pallas | manul
manure	pupuk
manuscript	naskah
many	banyak
many thanks	banyak terima kasih | terima kasih banyak
manège	komidi putar
map	peta | map | atlas
mapping	aplikasi
maquette	maket
marasmus	marasmus
marathon	maraton
maraud	menjarah
marble	marmer | pualam | kelereng
marbled white	papan catur
marcassin	anak babi
march	baris
mare	mare | maria
margarine	margarin
margin	laba
marginal	marginal
marginal note	catatan tepi | takarir | taklikat
marijuana	ganja
marinade	marinade
marinate	pemarinadean
marination	marinasi
marine	bahari | marinir
marine biology	biologi kelautan
marine corps	korps mariner
marine science	ilmu kelautan | sains kelautan
marine snow	salju laut
marionette	boneka
marital status	status perkawinan
maritime	kelautan
marjoram	marjoram
mark	tanda
mark time	jalan di tempat
marker pen	spidol
market	pasar
market capitalization	kapitalisasi pasar
market force	kekuatan pasar
market maker	pelaku pasar
market risk	risiko pasar
market share	pangsa pasar
marketability	keterpasaran
marketing	pemasaran
marketplace	lokapasar
marksman	penembak jitu
markup	laba
markup language	bahasa markah
marl	napal
marlin	ikan layaran | setuhuk
marmalade	marmelade
maroon	marun | merah marun
marque	bekas
marquess	tumenggung
marram	helm
marriage	perkawinan | pernikahan | nikah
marriage certificate	akta nikah | akta perkawinan | buku nikah
married	perkawinan
married couple	pernikahan
marrow	Sum sum tulang
marry	menikah | menikahi | mengawinkan | menikahkan
marry me	perkawinan
marsh	paya | rawa | rawa-rawa
marshal	marsekal
marshalling yard	emplasemen langsir
marsquake	gempa
martial	perang
martial art	seni bela diri
martial law	darurat militer
martyr	syahid | martir
martyrdom	kemartiran
martyrium	martirium
marvel	ada
marvellous	ajaib
marvelous	bagus sekali
marzipan	marzipan | marsepen
mascara	maskara
masculine	maskulin
masculinity	maskulinitas
masdar	masdar
mash	basuh
mashallah	masya Allah
mashed	bunting
mask	topeng | masker | kedok
masochism	masokhisme
masochist	masokhis
mason	tukang batu
masonry	freemasonry
masquerade	samar
mass	misa | massa
mass defect	defek massa
mass extinction	kepunahan massal
mass media	media massa
mass medium	media massa
mass murder	pembunuhan masal
mass number	nomor massa
massacre	pembantaian | membantai
massage	urut | pijat
masseur	tukang pijit
massif	masif
massive	jajaran gunung
mast	tiang kapal
master	master | magister
master of ceremonies	pembawa acara
master plan	rencana induk
master race	ras unggul
master's degree	magister | master
master's thesis	riwayat hidup
mastermind	mendalangi | dalang
masterpiece	mahakarya
masterwork	mahakarya
mastery	kendali
mastic	dempul
mastication	mastikasi
masturbate	masturbasi | merancap | onani
masturbation	masturbasi | onani | cokil | coli | ngocok
mat	tikar
match	korek api | pertandingan
matcha	matcha
matching	pemadanan
matchstick	korek api
mate	amico
material	bahan
materialism	materialisme
materialistic	materialistis
maternal aunt	tante
maternal uncle	om
maternity	keadaan hamil
maternity leave	cuti hamil
math	matematika
mathematician	matematikawan
mathematics	matematika
maths	matematika
mating season	musim kawin
matriarch	matriark
matricide	matrisida
matrimony	pernikahan
matrix	matriks
matsutake	jamur pinus
matter	materi
mattress	matras | kasur | tilam
mature	mengalahkan
maturity date	hari jatuh tempo | jatuh tempo | tanggal jatuh tempo
maudlin	cengeng
maunch	lengan baju
mausoleum	mausoleum
mauve	ungu
maven	ahli
maverick	merdeka
maw	lambung
maxi	maksi
maximal	maksimal
maximum	maksimum | pagu | plafon
may	boleh | bisa | dapat | barangkali | bisa jadi | bisa saja
may God have mercy on your soul	semoga Tuhan mengampuni jiwamu | semoga Tuhan mengasihani jiwamu
may I pass through	boleh saya lewat
may the Force be with you	semoga anda memperoleh Kekuatan
maybe	barangkali
mayhem	pembinasaan
mayonnaise	mayones
mayor	wali kota | walikota
mayor of the palace	wali kota
mayoralty	kantor walikota
maze	labirin | taman sesat
me	saya
me too	aku juga | aku pun
mead	mead
meadow	padang rumput
meager	melarat
meagre	kurus
meal	makanan
meal ticket	bagus
mealy-mouthed	munafik
mean	jahat | bermaksud | nilai tengah | purata | rata-rata | rerata
meaning	arti | makna | maksud
meaningful	berarti
means	alat
means of transportation	alat pengangkut
meantime	semasa
meanwhile	semasa
measles	campak
measure	ukur
measure of central tendency	ukuran pemusatan data
measure word	meteran
measurement	pengukuran
measuring worm	pacu-jantung
meat	daging
meat noodles	bakmi
meatball	bakso | bola daging
meaty	daging
mecha	meka
mechanic	mekanik | montir
mechanical	mekanis
mechanical energy	energi mekanis
mechanical engineering	teknik mesin
mechanical pencil	pensil mekanik
mechanics	mekanika
mechanism	mekanisme
mechatronics	mekatronik
medal	medali
median	median
mediation	mediasi
mediator	ketiga
medical	medis
medical doctor	dokter
medical practitioner	praktisi medis
medication	obat
medicinal	obat
medicine	kedokteran | obat | pengobatan | dokter
medicine man	tukang sihir
medicine woman	tukang sihir
mediocre	Biasa Saja
meditation	semadi | meditasi
mediterranean sea	Laut Mediterania
medium	sedang | tanggung | cenayang | perantara
medley	aduk
medusa	ubur-ubur
meek	rendah hati
meet	bertemu | temu
meet up	berkumpul
meeting	pertemuan | temu | rapat
mefenamic acid	asam mefenamat
mega-	maha- | mega-
megabat	codot
megadiverse	megadiversitas
megalith	megalit
megalomania	megalomania
megalomaniac	orang
megametre	megameter
megaphone	corong suara | megafon
megapode	gosong
megrim	ayam jago
meiosis	meiosis
melancholia	melankolia
melancholic	melankolis
melancholy	melankolis
melatonin	melatonin
meleagrine	ayam belanda
melodic	merdu
melodica	pianika
melodious	merdu
melodrama	melodrama
melody	melodi
melon	melon
melt	mengecor
member	anggota
membership	keanggotaan
membership card	kartu anggota | kartu keanggotaan | kartu tanda anggota
membrane	membran
membranophone	membranofon
meme	meme
memento	kenang-kenangan
memoir	memoar
memorandum of association	anggaran dasar
memorandum of understanding	nota kesepahaman
memorize	ingat
memory	ingatan | memori
memory leak	kebocoran memori
men	orang
menace	ancaman
menagerie	Kebun binatang
mend	memperbaiki
mendacious	bohong
mendicant	pengemis
mendicant order	ordo mendikan
menfolk	laki-laki
menhir	menhir
menial	babu
menopause	menopause
menorah	menorah
menstrual pad	pembalut wanita
menstruation	menstruasi | haid | datang bulan
mental	mental
mental age	umur mental
mental calculation	aritmetika cepat
mental disorder	gangguan jiwa | gangguan mental
mental hospital	rumah sakit jiwa
mentality	akhlak
mention	menyebut
mentor	mentor | pembimbing
mentoring	pembimbingan | pementoran | pengasuhan
menu	menu
meow	meong
meowing	ngeong
mercantilism	merkantilisme
mercenary	tentara bayaran
mercer	pedagang
merchandise	barang dagangan | barang | barang-barang
merchandising	kesaudagaran
merchant	pedagang | saudagar
merciful	belas kasihan
merciless	sadis
mercury	raksa | merkuri
mercy	pinta
mere	lugu
merely	hanya
merge	menghubungkan
merger	penggabungan
meridian	lingkaran bujur
meringue	kue busa
merit	jasa
meritocracy	meritokrasi
mermaid	putri duyung
meronym	meronimi
merrily	gembira
merriment	kegembiraan
merry	gembira
merry Christmas	selamat hari Natal | selamat Natal
merry-go-round	komidi putar
mesa	mesa
mesentery	mesenteri
mesh	jala | ram
mess	keadaan berantakan
mess kit	ompreng
message	pesan | amanat
message in a bottle	pesan dalam botol
messiah	mesias
messy	berantakan
mestizo	mestizo
metabolic	metabolik | metabolis
metabolic pathway	alur metabolik | jalur metabolik | lintasan metabolik | lintasan metabolisme
metabolism	metabolisme
metabolite	metabolit
metadata	metadata
metal	logam
metal detector	detektor logam
metalanguage	metabahasa
metalloid	metaloid
metamathematics	metamatematika
metamorphic	metamorf
metamorphic rock	batuan metamorf
metamorphosis	metamorfosis
metaphor	majas | kiasan | metafora
metaphysician	metafisika
metaphysics	metafisika
metaplasia	metaplasia
metastasis	metastasis | metastase
metaverse	alam metasemesta
mete out	menjatahkan
meteogram	meteorogram
meteor	meteor
meteorite	meteorit
meteorology	meteorologi
meter	meteran | penghitung
methamphetamine	metamfetamin | shabu | shabu-shabu | syabu | syabu-syabu
methane	metana
methionine	metionina
method	metode
methodology	metodologi
methylated spirit	spiritus
methylation	metilasi
meticulous	teliti
metre	meter
metre per second	meter per detik
metric ton	ton
metrical foot	kaki
metrology	metrologi
metronome	metronom
metropolis	kota raya
metropolitan area	kawasan metropolitan | wllayah kota raya
mettle	keberanian
mi	mi
mica	abrak | mika
micro-	mikro-
microbe	mikrob
microbiology	mikrobiologi
microchip	mikroprosesor
microcomputer	komputer mikro
microcontroller	mikrokontroler | mikropengendali
microcredit	kredit mikro
microeconomics	ekonomi mikro
microelectronics	mikroelektronika
microfiche	mikrofis
microfilm	mikrofilm
microlinguistics	mikrolinguistik
micrometer	mikrometer
micronation	negara mikro
microorganism	mikroorganisme
micropaleontology	mikropaleontologi
micropenis	mikropenis
microphone	mikrofon
microprint	cetak mikro
microprocessor	mikroprosesor
microraion	kompleks perumahan
microscope	mikroskop
microscopic	renik
microteaching	pengajaran mikro
microwave	gelombang mikro
microwave oven	oven gelombang mikro
mid-air	udara
mid-life crisis	krisis paruh baya
midbrain	otak tengah
middle	pertengahan | tengah | titik
middle age	abad pertengahan
middle child	bungsu
middle class	kelas menengah
middle ear	telinga tengah
middle finger	jari tengah | jari hantu | jari malang | jari mati | jari panjang
middle note	jantung
middle power	kekuatan menengah
middle school	sekolah satu atap
middle way	jalan tengah
middle-aged	setengah baya
middleman	tengkulak
midfielder	kaus kaki
midge	nyamuk
midlife	paruh baya
midnight	tengah malam
midnight blue	biru malam
midpoint	setengah
midriff	perut
midst	tengah
midwife	bidan
midwifery	kebidanan
mien	wajah
miffed	marah
might	kekuatan
mighty	ampuh
migraine	migrain
migration	migrasi
mijl	mil
mikoshi	mikosyi
mild	manis
mildew	cendawan | kapang
mile	mil
milestone	tanggal penting
milieu	lingkungan hidup | milieu
militarism	militerisme
military	militer
military attaché	atase pertahanan
military parade	parade militer
military police	polisi militer
military service	dinas militer
military-industrial complex	kompleks militer-industri
militia	milisi
milk	susu
milk brother	saudara sepersusuan
milk powder	susu bubuk
milk tea	teh susu
milk tooth	gigi susu
milkfish	bandeng
milkmaid	pemerah susu
milkshake	susu kocok
mill	kincir | pabrik
mille-feuille	kue napoleon
millenarian	milenial
millennial	milenial
millennium	milenium | alaf
millet	milet
milli-	mili-
milling cutter	arbei
million	juta | sejuta
millionaire	jutawan
millipede	kaki seribu
millstone	batu kilangan
milt	susu
mimic	menyewakan
mimicry	mimikri
mina	lombong
minaret	menara | minaret
mince	daging cincang
mind	benak
mind-boggling	digeser
mindfuck	kesimpangsiuran
mindless	gratis
mindset	pola pikir
mine	tambang | ranjau
miner	penambang
mineral	mineral | pelikan
mineral water	air mineral
mineralogy	mineralogi
mineworker	anak di bawah umur
mingy	bakhil | kikir
mini-	mini-
miniature poodle	pudel kecil
minibus	bus mini | minibus
minimum wage	upah minimum
mining	pertambangan
minion	kacung | antek | kaki tangan
miniskirt	rok mini
minister	menteri
minister without portfolio	menteri negara
ministerial	administratif
ministration	kementerian
ministry	kementerian
minium	minium | timah merah
miniver	cerpelai
minor	anak
minor premise	premis minor
minority	minoritas
mint	mint
minuend	kinurang
minus	dikurangi
minus sign	negatif
minute	menit | minit | minuta
minute hand	jarum panjang
minutes	catatan rapat | notula | notulen | notulensi
miracle	keajaiban | mukjizat
mirage	fatamorgana
mire	lumpur
mirin	mirin
mirror	cermin
mirth	kegembiraan
misbaha	tasbeh | tasbih
misbehaver	peribut
misbehavior	perilaku menyimpang
miscarriage	abortus | keguguran
miscarry	gagal
miscegenation	persilangan
miscellaneous	aneka
miscellany	aduk
mischief	kerugian
mischievous	nakal
miscommunication	miskomunikasi
miser	kikir
miserable	sengsara
miserliness	kerakusan
miserly	kikir
misery	ketidakbahagiaan
misfit	orang canggung
misfortune	kesialan
misgive	sangsi mencurigai
misgiving	kebimbangan
mishap	kecelakaan
mishear	salah dengar
mishmash	rojak
miso	miso
misogyny	misogini
mispick	katak
misplace	menghilangkan
mispronunciation	kekeliruan
miss	nona | merindukan
miss out	menghilangkan
missile	misil | peluru kendali | rudal
missiology	ilmu pengetahuan misi | misiologi
mission	misi | tugas
mission statement	tugas
missionary	misionaris
missionary position	posisi misionaris
missive	surat
misspelling	kesalahan ejaan
missy	Nona
mist	halimun | kabus | pedut
mistake	keliru | salah | salah paham | salah mengerti
mister	tuan | bapak
mistreatment	penganiayaan
mistress	gundik
misunderstand	salah paham
misunderstanding	kesalahpahaman
misuse	menyalahgunakan | penyalahgunaan
mitch	membolos
mite	tungau
mitigate	meredam
mitigation	mitigasi
mitochondrion	mitokondria
mitosis	mitosis
mix	mencampurkan
mixed bag	aduk
mixed martial arts	seni bela diri campuran
mixer	pencampur | pengadon | pengaduk | pengocok | koktail campur | minuman mikser
mixture	aduk
mnemonic	jembatan keledai | mnemonik
moan	mendesah
mob	kawanan
mobile	mobil
mobile game	permainan ponsel
mobile phase	fase gerak
mobile phone	telepon genggam | telepon selular | telepon seluler
mobility	mobilitas
mobilization	mobilisasi
moccasin	pantofel
mochi	moci
mock	mencemoohkan
mock examination	simulasi tes | simulasi ujian | tryout
mock-up	maket | tiruan
mocktail	moktail
mockumentary	mokumenter
mod	koprekan | modif | oprekan
modality	modalitas
mode	modus
mode of transport	moda | moda transportasi
model	model
modeling	pemodelan
modeling clay	lilin mainan | plastisin
modem	modem
moderation	kelunakan | moderasi
modern	modern | mutakhir
modern history	Periode modern awal
modern physics	fisika modern
modernity	kemodernan | modernitas
modernize	memodernkan | memutakhirkan
modest	kecil
modicum	sedikit
modification	modifikasi | koprekan | oprekan | pemodifikasian | pengoprekan | ubah suai
modify	memodifikasi | mengoprek | terkoprek
modulation	modulasi
modulus of elasticity	modulus elastisitas
mogul	konglomerat
moiety	bagian
moist	lembap
moisture	kelembapan
mojibake	belukar
mojito	mojito
mojo	sihir
molar	geraham
molasses	molase
mold	kapang
moldboard	pemutar rel
mole	tikus tanah | mol | penyusup
mole-rat	tikus mondok
molecular	molekuler
molecular biology	biologi molekuler
molecular formula	rumus kimia
molecular genetics	genetika molekuler
molecular orbital	orbital molekul
molecular sieve	pengayak molekul | saringan molekuler
molecule	molekul
molester	pemerkosa
mollify	menenangkan
mollusc	moluska
mollycoddle	memanjakan
moment	saat
moment of force	momen gaya
moment of inertia	momen inersia
moment of silence	mengheningkan cipta | pengheningan | pengheningan cipta
moment-generating function	fungsi pembangkit momen
momentarily	saat ini
momentary	sesaat
momentous	berlaku
momentum	momentum | impuls | pusa
monarch	raja
monarchist	monarkis
monarchy	monarki
monastery	biara | wihara
mondegreen	salah dengar
monetarism	monetarisme
monetary	moneter
money	uang | duit | kas | kontan | fulus
money changer	penukar uang
money laundering	pencucian uang
money market	pasar uang
money market fund	reksa dana pasar uang
money order	surat perintah pembayaran | wesel | wesel pos
moneylender	rentenir
monger	pedagang
mongoose	cerpelai | garangan
moniker	nama ejekan
monism	monisme
monitor	layar | monitor
monitor lizard	biawak
monitoring	monitoring | pemantauan
monk	biarawan | rahib | biksu
monkey	monyet | kera
monkey in the middle	ubi
monkey wrench	kunci Inggris
mono-	eka- | mono-
monogamy	monogami
monograph	monografi
monoid	monoid
monolith	monolit
monologue	monolog | swacakap | komika
monomer	monomer
mononucleosis	demam kelenjar | mononukleosis
monophysitism	monofisitisme
monopolistic	monopolistik
monopoly	monopoli
monopsony	monopsoni
monorail	monorel
monosaccharide	monosakarida
monosodium glutamate	micin | natrium glutamat | vetsin
monotheism	monoteisme
mons	gunung
monsignor	monsinyur
monsoon	muson
monster	monster
monstrance	monstrans
monstrous	besar
montage	penyuntingan
month	bulan
monthly	bulan
monument	monumen | tugu
moo	menguak
mooch	mengembara
mood	angin
moody	murung
moola	gandum
moon	bulan | candra
moon bag	pisang
mooncake	kue bulan
moonlight	cahaya bulan
moonshine	ciu bensin | oplosan
moor	memelas
moose	rusa besar
moot	menyarankan
mop	kain pel
moped	moped
moral	batin
moral obligation	kewajiban moral
moral police	polisi Syariah
morale	daya juang | korsa | moral
morality	moralitas | sopan santun | kesusilaan
morass	paya
morbid	sakit
morbidity	penyakit
mordacious	tajam
mordant	sarkastis
more	belum
more and more	selalu
more or less	kurang lebih
more's the pity	sayang
moreover	juga
mores	adat
morgue	kamar mayat | rumah mayat
moribund	nazak | sekarat | hampir mati
morning	pagi | subuh
morning dress	ban
morning glory	sripagi
moron	bahlul | bego | sontoloyo
morph	morf
morpheme	morfem
morphemics	morfemik
morphine	morfina
morphogenesis	morfogenesis
morphology	morfologi
morphophonology	morfofonologi
morrow	besok
mortal	orang
mortal sin	dosa berat
mortality	mortalitas
mortar	mortir | mortar | cobek
mortar and pestle	lesung dan alu
mortgage	hipotek
mortification	penghinaan
mortify	penghinaan
mortise-and-tenon joint	purus dan lubang
mosaic	mosaik
moscovium	moskovium
mosey	memulai
mosque	masjid | mesjid
mosquito	nyamuk
mosquito coil	obat nyamuk bakar
mosquito larva	jentik-jentik
mosquito net	kelambu
moss	lumut
most	amat
most of all	paling penting
mostly	paling penting
mote	atom
moth	gegat | ngengat
mothball	naftalena
mother	bunda | ibu | induk | ibunda
mother ship	kapal induk
mother tongue	bahasa ibu
mother-in-law	mertua perempuan | ibu mertua
mother-of-pearl	giwang | indung mutiara
motherfucker	keparat | bedebah | cukimai
motherhood	keibuan
motherland	tanah leluhur | tanah kelahiran | tanah air
motion	gerakan | mosi
motion blur	buram gerak
motion sickness	mabuk
motivate	menyemangati
motivated	bersemangat
motivation	motivasi
motivator	motivator | pemotivasi
motive	menyemangati
motor	motor | enjin | mesin
motor vehicle	kendaraan bermotor
motorboat	perahu motor
motorcar	mobil
motorcycle	sepeda motor
motorcycle taxi	ojek
motorway	jalan bebas hambatan terkendali
motto	semboyan
mouldboard	pemutar rel
mouldy	apak | apek
moulin	kisaran
moult	pergantian kulit
mound	bukit
mound royal	dunia
mount	tunggangan
mountain	gunung
mountain bike	sepeda gunung
mountain chain	jajaran gunung
mountain goat	kambing gunung
mountain hare	terwelu gunung
mountain pass	kerah
mountain range	barisan
mountaineer	pendaki gunung
mountaineering	panjat gunung
mourn	berduka
mourning	dukacita
mouse	tikus | mouse komputer | tetikus
mousse	buih
moustache	kumis
moustached	berkumis
moustachioed	berkumis
mouth	mulut | muara
mouthful	seteguk
mouthpiece	muara
move	pindah
move house	pindah rumah
movement	gerakan | pergerakan
moves	gaya
movie	film
movie star	bintang film
moving	bergerak
moving spirit	arwah
mow	memotong rumput
moxie	babat
mozzetta	mozeta
mpox	cacar monyet
mu	kami
mu'min	mukmin
much	banyak
mucilage	lendir
muck	lumpur
mucker	kawan
mucky	jorok
mucous membrane	membran mukosa
mucus	lendir
mud	lumpur
muddle	kesimpangsiuran
muddle up	mengelirukan
muddy	berlumpur
mudguard	penahan lumpur | slebor | spatbor
mudra	mudra
mudskipper	tembakul
mudslide	lumpur longsor
muezzin	muazin
muff	jembut
muffin top	ban
muffle	meliput
muffler	knalpot
mufti	mufti
mug	mok
mug shot	potret
mugger	garpu
muggy	basah
mujahid	mujahidin
mukim	mukim
mulatto	café au lait
mulberry	bebesaran | murbei
mule	bagal
mule deer	rusa bagal
mull	memikirkan | mempertimbangkan
mullah	mullah
multi-level marketing	pemasaran berjenjang
multibillionaire	miliarder besar
multicolored	aneka warna
multicultural	multikultural
multiculturalism	multikulturalisme
multilateralism	multilateralisme
multilingual	multibahasa
multimeter	multimeter
multimillionaire	jutawan besar
multinational	multinasional
multiphase	polifase
multiple	multipel
multiple sclerosis	sklerosis multipel
multiple unit	kereta rel
multiple-choice	pilihan ganda
multiple-choice question	soal pilihan ganda
multiplicand	pekali
multiplication	perkalian
multiplicity	angka
multiplier	pengali
multiply	berbiak
multipolarity	multipolaritas
multitude	adonan
mum	mama | mami
mumble	bergumam
mummy	mumi
mumps	beguk
munch	makan
munchkin	kanak
mundane	banal
mung bean	kacang hijau
municipal	kota
munificence	kedermawanan
munificent	dermawan
muntjac	kijang
muon	muon
murder	pembunuhan | membunuh
murderer	pembunuh
murderous	pembunuh
murine	tikus kecil
murky	kekusutan
murmur	desas-desus
murtabak	martabak
musalla	musala
muscle	otot
musclebound	bokek
muscleman	lemari
muscular	otot
muscular dystrophy	distrofi otot
muse	ilham | melamun | termenung
musette	ransel
museum	museum
mush	bubur
mushroom	jamur
mushy	lunak
music	musik
music box	kotak musik
music therapy	terapi musik
music video	video musik
musical	musik
musical instrument	alat musik
musical scale	tangga nada
musician	musikus | pemusik
musicology	musikologi
musing	angan-angan
musk	kesturi
musket	bedil sundut | musket
mussel	loyang
must	harus
mustard	moster | sesawi
mustard gas	yperit
musth	musth
musty	apak
mutable	variabel
mutagen	mutagen
mutant	mutan
mutation	mutasi
mutatis mutandis	dengan penyesuaian seperlunya
mute	bisu | gagu
mute swan	angsa putih
mutilation	mutilasi
mutiny	dahagi
mutter	bergumam
muttering	gerutu
mutton	biri-biri
mutual	baku
mutual assured destruction	kepastian saling menghancurkan
mutual fund	reksa dana
mutualism	mutualisme
muzzle	membungkam
my	saya
my Lord	tuan
my ass	aku
my name is	nama saya
my pleasure	dengan senang hati
mycetism	keracunan jamur
mycology	mikologi
mycorrhiza	jamur akar
mycosis	infeksi jamur
myna	beo | mina
myocardium	otot jantung
myometrium	miometrium
myopia	rabun jauh
myself	diri
mysterious	misterius
mystery	misteri | keajaiban
